"Año;Mes;Fecha;Precio;Mineral;Unidad de medida;Numero Índice"
"1990;1;1990M01;1528,25;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);82,4423321753016"
"1990;2;1990M02;1454,28;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);78,4519776449518"
"1990;3;1990M03;1567,39;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);84,5537621647282"
"1990;4;1990M04;1525,55;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);82,2966791101137"
"1990;5;1990M05;1526,93;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);82,3711240100986"
"1990;6;1990M06;1565,79;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);84,4674492372095"
"1990;7;1990M07;1570,96;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);84,7463478842544"
"1990;8;1990M08;1782,02;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);96,1321019355674"
"1990;9;1990M09;2066,53;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);111,480158815787"
"1990;10;1990M10;1945,7;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);104,961914420732"
"1990;11;1990M11;1617,5;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);87,2569751634551"
"1990;12;1990M12;1522,44;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);82,1289083572492"
"1991;1;1991M01;1515,18;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);81,737263448633"
"1991;2;1991M02;1504,6;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);81,1665192154155"
"1991;3;1991M03;1496;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);80,7025872300024"
"1991;4;1991M04;1391,86;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);75,0846945601277"
"1991;5;1991M05;1296,05;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);69,9161685691474"
"1991;6;1991M06;1275,15;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);68,7887059534342"
"1991;7;1991M07;1296,78;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);69,9555488423279"
"1991;8;1991M08;1256,45;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);67,7799236130591"
"1991;9;1991M09;1211,81;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);65,3717929352869"
"1991;10;1991M10;1150,03;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);62,0390350214703"
"1991;11;1991M11;1134,8;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);61,2174438426515"
"1991;12;1991M12;1097,55;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);59,2079709988564"
"1992;1;1992M01;1177,07;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);63,4977234965367"
"1992;2;1992M02;1266,83;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);68,3398787303368"
"1992;3;1992M03;1280,47;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);69,0756964374339"
"1992;4;1992M04;1317,05;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);71,0490257428306"
"1992;5;1992M05;1306,79;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,4955440951168"
"1992;6;1992M06;1275,55;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);68,8102841853139"
"1992;7;1992M07;1313,05;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,8332434240338"
"1992;8;1992M08;1305,05;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,4016787864402"
"1992;9;1992M09;1269,61;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);68,4898474419006"
"1992;10;1992M10;1173,78;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);63,3202425393263"
"1992;11;1992M11;1159,05;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);62,5256241503571"
"1992;12;1992M12;1207,1;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);65,1177092549036"
"1993;1;1993M01;1206,76;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);65,0993677578059"
"1993;2;1993M02;1201,85;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);64,8344949614828"
"1993;3;1993M03;1151,33;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);62,1091642750793"
"1993;4;1993M04;1108,53;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);59,8002934639536"
"1993;5;1993M05;1123,96;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);60,6326737587122"
"1993;6;1993M06;1165,3;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);62,8627840234771"
"1993;7;1993M07;1202,13;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);64,8495997237986"
"1993;8;1993M08;1172,14;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);63,2317717886196"
"1993;9;1993M09;1115,38;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);60,1698206848931"
"1993;10;1993M10;1087,1;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);58,6442396909997"
"1993;11;1993M11;1039,81;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);56,0931532270246"
"1993;12;1993M12;1094,3;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);59,032647864834"
"1994;1;1994M01;1174,59;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);63,3639384588827"
"1994;2;1994M02;1269,93;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);68,5071100274044"
"1994;3;1994M03;1289,03;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);69,5374705996591"
"1994;4;1994M04;1278,72;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);68,9812916729603"
"1994;5;1994M05;1322,59;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);71,3478842543642"
"1994;6;1994M06;1400,58;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);75,5551000151048"
"1994;7;1994M07;1492,42;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);80,5094620546792"
"1994;8;1994M08;1455,36;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);78,5102388710269"
"1994;9;1994M09;1569,22;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);84,6524825755777"
"1994;10;1994M10;1698,05;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);91,6022916082256"
"1994;11;1994M11;1892,59;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);102,096864682908"
"1994;12;1994M12;1878,31;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);101,326521804803"
"1995;1;1995M01;2060,55;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);111,157564249185"
"1995;2;1995M02;1916,15;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);103,367822540621"
"1995;3;1995M03;1805,07;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);97,3755475476339"
"1995;4;1995M04;1849;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);99,7453768638198"
"1995;5;1995M05;1762,69;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);95,0893338799819"
"1995;6;1995M06;1780,05;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);96,02582914356"
"1995;7;1995M07;1860,1;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);100,344172798481"
"1995;8;1995M08;1888,32;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);101,866517057592"
"1995;9;1995M09;1760,83;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);94,9889951017414"
"1995;10;1995M10;1674,32;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);90,3221630019636"
"1995;11;1995M11;1654,07;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);89,2297650130548"
"1995;12;1995M12;1656,74;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);89,3737997108517"
"1996;1;1996M01;1589,34;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);85,7378676391257"
"1996;2;1996M02;1591,55;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);85,8570873702609"
"1996;3;1996M03;1612,48;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);86,9861683533651"
"1996;4;1996M04;1587,23;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);85,6240424659603"
"1996;5;1996M05;1589,26;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);85,7335519927497"
"1996;6;1996M06;1482,48;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);79,9732429924692"
"1996;7;1996M07;1458,7;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);78,6904171072222"
"1996;8;1996M08;1463,36;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);78,9418035086205"
"1996;9;1996M09;1407,38;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);75,9219299570593"
"1996;10;1996M10;1336,34;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);72,0896359752282"
"1996;11;1996M11;1449,52;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);78,1951966855836"
"1996;12;1996M12;1500,29;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);80,9340137669119"
"1997;1;1997M01;1575,61;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);84,9971948298556"
"1997;2;1997M02;1580,01;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);85,2345553805321"
"1997;3;1997M03;1631,57;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);88,0159894698228"
"1997;4;1997M04;1561,44;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);84,232785965518"
"1997;5;1997M05;1625,25;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);87,6750534061239"
"1997;6;1997M06;1567,55;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);84,5623934574801"
"1997;7;1997M07;1591,99;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);85,8808234253285"
"1997;8;1997M08;1710,58;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);92,2782297218566"
"1997;9;1997M09;1610,6;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);86,8847506635306"
"1997;10;1997M10;1607,86;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);86,7369397751548"
"1997;11;1997M11;1598,99;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);86,2584424832229"
"1997;12;1997M12;1530,51;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);82,5642491854217"
"1998;1;1998M01;1485,79;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);80,1518028612736"
"1998;2;1998M02;1465,56;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);79,0604837839587"
"1998;3;1998M03;1437,7;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);77,557559933539"
"1998;4;1998M04;1418,16;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);76,5034633062167"
"1998;5;1998M05;1364,72;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);73,6206115270915"
"1998;6;1998M06;1307,24;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,5198196059815"
"1998;7;1998M07;1309,21;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,6260923979889"
"1998;8;1998M08;1310,9;Aluminio (Al);Dólar por Tonelada Métrica (USD/t);70,7172604276806"
